2025-06-23 23:55:31,271 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Initial dataset size: 241145
2025-06-23 23:55:31,271 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | After cleaning: 240836
2025-06-23 23:55:31,271 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Removed 309 rows
2025-06-23 23:55:31,272 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | 
Class distribution after cleaning:
2025-06-23 23:55:31,274 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Negative: 55104 (22.88%)
2025-06-23 23:55:31,277 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Neutral: 82713 (34.34%)
2025-06-23 23:55:31,280 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Positive: 103019 (42.78%)
2025-06-23 23:57:01,746 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Initial dataset size: 241145
2025-06-23 23:57:01,747 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | After cleaning: 240836
2025-06-23 23:57:01,747 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Removed 309 rows
2025-06-23 23:57:01,747 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | 
Class distribution after cleaning:
2025-06-23 23:57:01,749 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Negative: 55104 (22.88%)
2025-06-23 23:57:01,753 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Neutral: 82713 (34.34%)
2025-06-23 23:57:01,757 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Positive: 103019 (42.78%)
2025-06-23 23:57:14,523 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Experiment: logisticregression
2025-06-23 23:58:26,582 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Initial dataset size: 241145
2025-06-23 23:58:26,582 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | After cleaning: 240836
2025-06-23 23:58:26,582 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Removed 309 rows
2025-06-23 23:58:26,583 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | 
Class distribution after cleaning:
2025-06-23 23:58:26,585 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Negative: 55104 (22.88%)
2025-06-23 23:58:26,589 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Neutral: 82713 (34.34%)
2025-06-23 23:58:26,592 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Positive: 103019 (42.78%)
2025-06-23 23:58:39,311 | baseline | /Users/mirambikasikdar/Desktop/Personal/Prep/Coding/Sentiment Analysis Workflow/src/data/preprocessing.py.preprocess_data | Experiment: logisticregression
